Type,City,January,February,March,April,May,June,July,August,September,October,November,December
Mean Max Temperature,Adelaide,28.1,28.1,25.5,22.2,18.6,15.9,14.9,16,18.2,21.1,24,25.8
Mean Min Temperature,Adelaide,16,16.2,14.5,11.8,9.6,7.7,7,7.6,8.9,10.7,12.8,14.6
Mean Rainfall,Adelaide,17.8,18.8,22.1,34.9,54.3,56.5,60,50.2,44.6,36.1,24.7,23.2
Pressure,Adelaide,1019,1008,1008,1020,1001,1010,1007,1016,1008,1011,1009,1019
Mean Max Temperature,Brisbane,30.2,30,29,27.2,24.5,21.9,21.9,23.2,25.6,27.1,28.1,29.3
Mean Min Temperature,Brisbane,21.4,21.3,20,17.4,13.7,11.8,10.2,10.8,13.7,16.3,18.8,20.3
Mean Rainfall,Brisbane,147.9,142.5,109.7,67.4,67.9,68.4,24,40.6,30.4,71.4,104.6,132.7
Pressure,Brisbane,1007,1018,1011,1017,1004,1013,1003,1019,1003,1008,1016,1013
Mean Max Temperature,Darwin,31.8,31.4,31.9,32.7,32,30.7,30.6,31.4,32.6,33.3,33.3,32.6
Mean Min Temperature,Darwin,24.8,24.7,24.6,24,22.1,19.9,19.3,20.3,23,24.9,25.3,25.3
Mean Rainfall,Darwin,423.7,371.3,315.2,100.4,21.6,1.8,1.1,4.8,15.1,69.5,141.3,252.4
Pressure,Darwin,1002,1003,1001,1003,1014,1010,1010,1006,1016,1011,1007,1001
Mean Max Temperature,Melbourne,26.4,25.8,24,20.1,16.3,13.7,13.1,14.4,16.8,19.3,21.8,24.5
Mean Min Temperature,Melbourne,13.5,14,12.5,9.9,7.8,6,5.4,5.7,6.7,8.3,10,11.8
Mean Rainfall,Melbourne,42.4,45.9,39.6,54.2,48.7,40.3,43.9,48.2,51,59.7,58.5,50.9
Pressure,Melbourne,1014,1013,1004,1006,1016,1016,1016,1008,1001,1020,1017,1015
Mean Max Temperature,Sydney,25.9,25.8,24.8,22.5,19.5,17,16.4,17.9,20,22.1,23.6,25.2
Mean Min Temperature,Sydney,18.7,18.8,17.6,14.7,11.6,9.3,8.1,9,11.1,13.6,15.7,17.5
Mean Rainfall,Sydney,102.5,117,129.6,128.8,119.2,133,97.1,81.1,68.4,76.7,84.1,77.7
Pressure,Sydney,1007,1014,1000,1019,1013,1010,1020,1015,1006,1005,1000,1004
Mean Max Temperature,Perth,31.3,31.7,29.6,25.9,22.3,19.4,18.4,19.1,20.4,23.4,26.6,29.1
Mean Min Temperature,Perth,18.2,18.3,16.7,13.8,10.5,8.6,7.7,8.3,9.6,11.5,14.3,16.4
Mean Rainfall,Perth,15.4,8.5,20.3,37.8,91.1,126,144.5,122.4,88,38.6,23.7,10.1
Pressure,Perth,1011,1004,1020,1013,1011,1007,1020,1005,1011,1001,1014,1014
Mean Max Temperature,Dallas,12.9,13.9,19.1,24.7,27.6,33.5,36.2,36.9,33.9,27.7,19.5,17.9
Mean Min Temperature,Dallas,2.3,2.6,9.5,14.8,18.5,23.8,26.5,25.5,22.9,16.5,9.9,5.8
Pressure,Dallas,1006,1000,1009,1000,1008,1002,1004,1008,1017,1016,1003,1002
Mean Max Temperature,Denver,8.1,7.6,14.4,16.1,16.8,27.2,29,30.3,28.2,20.1,10.4,5.3
Mean Min Temperature,Denver,-6.1,-5.9,-1.1,1.6,4.4,13,14.3,14.5,11.8,5.9,-3.9,-7.6
Pressure,Denver,1013,1003,1011,1000,1013,1000,1005,1000,1006,1007,1007,1016
Mean Max Temperature,Miami,24.7,23,26.5,28.2,28.5,30,31.5,31.4,31.2,29.7,28,27.1
Mean Min Temperature,Miami,17.8,15.3,20.8,23.2,23.7,25.7,25.5,25.6,25.1,23.7,23.7,22.9
Pressure,Miami,1005,1000,1014,1006,1009,1017,1007,1011,1000,1019,1001,1001
Mean Max Temperature,San Francisco,16.1,18.8,20.5,19.3,17.8,21.6,23.3,24.2,24.7,23.2,16.5,13.2
Mean Min Temperature,San Francisco,8.2,10.8,11,10.3,11.6,12.6,15.2,15.8,14.3,14.1,8.3,7.3
Pressure,San Francisco,1010,1013,1005,1017,1001,1017,1013,1002,1006,1007,1017,1015
Mean Max Temperature,Seattle,10.2,12.5,14.4,15.5,20,26.1,28.1,26.1,20.3,17.5,9.7,8.4
Mean Min Temperature,Seattle,4.4,6.1,6.2,6,10.1,13.6,15.5,14.7,11.4,10.5,3.5,3.8
Pressure,Seattle,1019,1017,1013,1019,1010,1001,1006,1015,1006,1012,1018,1017
Mean Rainfall,Dallas,348.8,264.8,279.2,459.2,1198.4,429.6,13.6,36,226.4,946.4,828,410.4
Mean Rainfall,Denver,19,62,40.5,136.5,219,263.5,48.5,144.5,19,84.5,61.5,10
Mean Rainfall,Miami,67,82,107.5,185,55,60,252.5,337.5,642.5,218.5,437.5,420
Mean Rainfall,San Francisco,348.8,264.8,279.2,459.2,1198.4,429.6,13.6,36,226.4,946.4,828,410.4
Mean Rainfall,Seattle,183,264,223.5,101.5,29,11.5,4.5,164,41.5,241,418.5,560
Maximum Humidity,Sydney,63,67,46,55,59,46,59,78,67,64,72,58
Minimum Humidity,Sydney,17,14,4,10,4,7,8,18,24,12,12,12
Maximum Humidity,Adelaide,82,88,88,94,93,82,88,87,88,72,82,88
Minimum Humidity,Adelaide,14,15,46,41,34,12,18,24,19,37,40,48
Maximum Humidity,Brisbane,67,88,100,82,88,88,88,94,100,78,88,83
Minimum Humidity,Brisbane,8,18,49,9,10,6,20,41,46,44,51,40
Maximum Humidity,Dallas,76,70,75,73,87,87,93,86,80,77,82,88
Minimum Humidity,Dallas,29,34,38,45,45,48,68,39,28,27,26,37
Maximum Humidity,Darwin,96,94,94,94,95,94,84,89,94,89,94,94
Minimum Humidity,Darwin,29,41,37,38,24,13,17,8,24,37,46,37
Maximum Humidity,Denver,80,66,57,39,47,92,89,59,49,50,63,100
Minimum Humidity,Denver,23,22,15,16,16,32,15,13,14,12,17,71
Maximum Humidity,Melbourne,88,94,94,87,88,93,100,93,93,93,87,100
Minimum Humidity,Melbourne,39,27,39,42,41,27,30,28,39,23,40,47
Maximum Humidity,Miami,93,91,85,85,85,91,85,91,85,74,62,82
Minimum Humidity,Miami,59,63,59,56,59,68,60,56,51,44,43,55
Maximum Humidity,Perth,95,93,100,100,100,100,100,100,77,100,82,77
Minimum Humidity,Perth,33,26,54,39,25,44,38,54,30,25,12,7
Maximum Humidity,San Francisco,89,86,89,80,83,83,78,73,86,96,83,86
Minimum Humidity,San Francisco,49,48,56,48,40,35,23,26,32,53,48,72
Maximum Humidity,Seattle,96,100,93,96,93,96,93,100,97,100,93,93
Minimum Humidity,Seattle,58,48,51,67,56,60,56,73,72,47,44,37
